"Dates" "PFallassets" "PFoptassets"
"1" "2011-04-01" 0.999999999999993 1
"2" "2011-04-04" 1.0040942036293 0.992528380346672
"3" "2011-04-05" 1.00599562062298 0.997347261480008
"4" "2011-04-06" 1.00824478873832 1.01029444798459
"5" "2011-04-07" 1.00322023896824 1.01488031518449
"6" "2011-04-08" 1.00566469104939 1.01572769548749
"7" "2011-04-11" 1.00195961264206 1.01067561445792
"8" "2011-04-12" 0.985604577851511 1.00103135552836
"9" "2011-04-13" 0.993322445419229 1.01094888179008
"10" "2011-04-14" 0.990962554894196 1.00759636121217
"11" "2011-04-15" 0.993433830948236 1.00867447508385
"12" "2011-04-18" 0.979200010979092 0.994708349271977
"13" "2011-04-19" 0.985772969071152 1.00007375272613
"14" "2011-04-20" 0.999225710828746 1.00123865081593
"15" "2011-04-21" 1.00658793761305 1.00151863349232
"16" "2011-04-22" 1.00658234940067 1.00151863349232
"17" "2011-04-25" 1.0051136786274 1.00005519811665
"18" "2011-04-26" 1.0089492859015 1.00528471520253
"19" "2011-04-27" 1.01196916826855 1.00453959832711
"20" "2011-04-28" 1.01639466226094 1.005402785808
"21" "2011-04-29" 1.0200609988464 1.00806138603869
"22" "2011-05-02" 1.02160638451632 1.00751159427896
"23" "2011-05-03" 1.01445935872809 1.00169087261347
"24" "2011-05-04" 1.00303253677817 0.991482744743428
"25" "2011-05-05" 1.00140968641937 0.993245278587982
"26" "2011-05-06" 1.01431323319007 1.00565603349688
"27" "2011-05-09" 1.01534339791682 1.00490984306923
"28" "2011-05-10" 1.02483353357393 1.0137058843635
"29" "2011-05-11" 1.02941125207811 1.01849040334606
"30" "2011-05-12" 1.02255748483322 1.01312327282569
"31" "2011-05-13" 1.02099645408085 1.01650010750985
"32" "2011-05-16" 1.01853088926349 1.01873846196215
"33" "2011-05-17" 1.00926974665103 1.01269594162546
"34" "2011-05-18" 1.01020855207719 1.01720574656909
"35" "2011-05-19" 1.01699576632979 1.01892465741971
"36" "2011-05-20" 1.0186566570984 1.01913956538218
"37" "2011-05-23" 1.00205064694348 1.00329986605874
"38" "2011-05-24" 1.00452373285887 1.00334431617595
"39" "2011-05-25" 1.00977113612671 1.01605185382353
"40" "2011-05-26" 1.0095673972177 1.01341736154476
"41" "2011-05-27" 1.01689879691783 1.0267362476675
"42" "2011-05-30" 1.01693565995014 1.02720160096832
"43" "2011-05-31" 1.0242141186615 1.0323722546294
"44" "2011-06-01" 1.01843573856933 1.02718472406944
"45" "2011-06-02" 1.00869813935851 1.02082804455817
"46" "2011-06-03" 1.00476003672608 1.02195743206615
"47" "2011-06-06" 1.0007130002196 1.01988823866903
"48" "2011-06-07" 0.998827361656205 1.00984945366492
"49" "2011-06-08" 0.98557829923705 0.997590170628832
"50" "2011-06-09" 0.994153641439315 1.00961585148284
"51" "2011-06-10" 0.982308597879653 1.00063531866759
"52" "2011-06-13" 0.98348080669034 1.00530048679449
"53" "2011-06-14" 0.990812014750708 1.00733257351292
"54" "2011-06-15" 0.981851360900272 1.001624643445
"55" "2011-06-16" 0.972479286484082 0.987050560456375
"56" "2011-06-17" 0.973346765631915 0.991373054492204
"57" "2011-06-20" 0.964712680326041 0.981858266416217
"58" "2011-06-21" 0.978592457570217 0.994452111367141
"59" "2011-06-22" 0.973250871798562 0.990534909054616
"60" "2011-06-23" 0.959771582899854 0.982316068719699
"61" "2011-06-24" 0.958480147106694 0.985933181136306
"62" "2011-06-27" 0.957289868022533 0.98335679048826
"63" "2011-06-28" 0.961511319343442 0.989211504386144
"64" "2011-06-29" 0.980349878596263 1.00095978922159
"65" "2011-06-30" 0.991940384081008 1.00963024800964
"66" "2011-07-01" 1.00013170660407 1.02070112795234
"67" "2011-07-04" 1.00516998973023 1.02257782755071
"68" "2011-07-05" 1.00574546934076 1.02285807135852
"69" "2011-07-06" 1.00156389143342 1.01574915541958
"70" "2011-07-07" 1.00553413682743 1.01845331880407
"71" "2011-07-08" 0.998596018418732 1.01297283909819
"72" "2011-07-11" 0.980885626148135 1.00581142771454
"73" "2011-07-12" 0.975523474127791 1.00127618203155
"74" "2011-07-13" 0.98331997256225 1.00557248137391
"75" "2011-07-14" 0.973236812001716 0.999257386644372
"76" "2011-07-15" 0.970265727450004 0.999874907247585
"77" "2011-07-18" 0.950529074155839 0.987870403754202
"78" "2011-07-19" 0.958472362862355 0.995545501820406
"79" "2011-07-20" 0.970827691585391 1.00294281565118
"80" "2011-07-21" 0.980108807723426 1.01514811728083
"81" "2011-07-22" 0.988436047377049 1.02533192796043
"82" "2011-07-25" 0.985287814515486 1.01869471803036
"83" "2011-07-26" 0.979378800853948 1.00689931892538
"84" "2011-07-27" 0.968560308163167 1.00095302759645
"85" "2011-07-28" 0.965291700576879 0.990477653023778
"86" "2011-07-29" 0.960293986016036 0.984566181175142
"87" "2011-08-01" 0.948548137655665 0.980766758106506
"88" "2011-08-02" 0.924127871816126 0.959522152158886
"89" "2011-08-03" 0.905862909354408 0.933943009984572
"90" "2011-08-04" 0.869705639876291 0.914579201932227
"91" "2011-08-05" 0.855629953979129 0.89579223423898
"92" "2011-08-08" 0.813537417644163 0.863927704351163
"93" "2011-08-09" 0.831094768930842 0.886297181832561
"94" "2011-08-10" 0.810186284467385 0.878281923128476
"95" "2011-08-11" 0.830901796424831 0.895104587719805
"96" "2011-08-12" 0.860795591911516 0.919903685411553
"97" "2011-08-15" 0.865033559780093 0.921396729877327
"98" "2011-08-16" 0.857677769501717 0.913446066555312
"99" "2011-08-17" 0.858835890690917 0.908505908709291
