"Dates" "PFallassets" "PFoptassets"
"1" "2006-04-03" 1.00000000000001 1
"2" "2006-04-04" 0.997874572780425 0.996245940886139
"3" "2006-04-05" 1.00162158308953 0.997603119021448
"4" "2006-04-06" 1.00671592102491 1.00565115577204
"5" "2006-04-07" 1.00360231134106 1.00072595174663
"6" "2006-04-10" 1.00412229480306 1.00124613053662
"7" "2006-04-11" 0.993502719304323 0.997496806542563
"8" "2006-04-12" 0.989596561266267 0.993955531821037
"9" "2006-04-13" 0.994979558715342 0.996747842755117
"10" "2006-04-14" 0.99502069544939 0.996760094389303
"11" "2006-04-17" 0.99418051139729 0.996850723166583
"12" "2006-04-18" 0.995223349650866 1.00657937846473
"13" "2006-04-19" 1.00625977202311 1.0154955244054
"14" "2006-04-20" 1.01025197061122 1.02189786913208
"15" "2006-04-21" 1.01778307285784 1.03656687266918
"16" "2006-04-24" 1.01701247505477 1.03868894995681
"17" "2006-04-25" 1.01832988350014 1.03237066620202
"18" "2006-04-26" 1.0204960413719 1.03829210367634
"19" "2006-04-27" 1.0124399141629 1.02706903251638
"20" "2006-04-28" 1.00942904105859 1.02443336529443
"21" "2006-05-01" 1.01179595285185 1.0252802437798
"22" "2006-05-02" 1.01958102814075 1.02889393975333
"23" "2006-05-03" 1.01771959492717 1.03045549943894
"24" "2006-05-04" 1.02408823871653 1.04138165985822
"25" "2006-05-05" 1.03548773636913 1.05774494366528
"26" "2006-05-08" 1.03929119105347 1.05838001811816
"27" "2006-05-09" 1.04148328004976 1.05868139388775
"28" "2006-05-10" 1.04003404566975 1.05657641459703
"29" "2006-05-11" 1.04025968314159 1.05945879522116
"30" "2006-05-12" 1.01861032526778 1.03981435753921
"31" "2006-05-15" 0.995615967186492 1.01439389801094
"32" "2006-05-16" 0.992990915706749 1.0115372455749
"33" "2006-05-17" 0.969538462818518 0.996853898928885
"34" "2006-05-18" 0.954506355363483 0.976224791684744
"35" "2006-05-19" 0.955678000369707 0.974092353718028
"36" "2006-05-22" 0.917717799175415 0.945703628478778
"37" "2006-05-23" 0.947283906061869 0.977215265391523
"38" "2006-05-24" 0.934114066438272 0.970126976969929
"39" "2006-05-25" 0.944201029917072 0.978868520561824
"40" "2006-05-26" 0.968024473749755 0.990279078747796
"41" "2006-05-29" 0.971025597747578 0.998956358518482
"42" "2006-05-30" 0.950697460998708 0.979213190118831
"43" "2006-05-31" 0.958583632405318 0.98053737744101
"44" "2006-06-01" 0.961110016300099 0.987325842985461
"45" "2006-06-02" 0.96933809270423 0.994351115489106
"46" "2006-06-05" 0.963210550994675 0.993239161482839
"47" "2006-06-06" 0.94022291590133 0.968601457745072
"48" "2006-06-07" 0.939572407991899 0.962950947155377
"49" "2006-06-08" 0.912164601270143 0.940494697987335
"50" "2006-06-09" 0.927396135502119 0.952536919142581
"51" "2006-06-12" 0.920056863158748 0.938785707966275
"52" "2006-06-13" 0.893825703401674 0.914024624496541
"53" "2006-06-14" 0.896209477701395 0.920210733550459
"54" "2006-06-15" 0.925219226049943 0.952996789553183
"55" "2006-06-16" 0.919943488877225 0.947172007102116
"56" "2006-06-19" 0.927180044944832 0.948795008862009
"57" "2006-06-20" 0.928406977226536 0.942806958178485
"58" "2006-06-21" 0.927985275258317 0.944338201014464
"59" "2006-06-22" 0.933765300835728 0.954673921978813
"60" "2006-06-23" 0.935742204591609 0.953706844386642
"61" "2006-06-26" 0.935803323895847 0.955209340461343
"62" "2006-06-27" 0.932086463101268 0.958702512091114
"63" "2006-06-28" 0.932096706887746 0.956341100788359
"64" "2006-06-29" 0.94512050505645 0.970924591751705
"65" "2006-06-30" 0.958956989925495 0.980955102604965
"66" "2006-07-03" 0.965681661549478 0.988969078132193
"67" "2006-07-04" 0.968557140632223 0.994080966710873
"68" "2006-07-05" 0.958239348693389 0.991487509074467
"69" "2006-07-06" 0.96469870260788 0.996749756416637
"70" "2006-07-07" 0.961971410926472 0.991213741559826
"71" "2006-07-10" 0.963258668110066 0.994056758231961
"72" "2006-07-11" 0.955592964600537 0.985661602791995
"73" "2006-07-12" 0.959902636411399 0.990827020498151
"74" "2006-07-13" 0.946010582492452 0.984796430114749
"75" "2006-07-14" 0.935438697983644 0.975174587828681
"76" "2006-07-17" 0.926234742544493 0.967161539091511
"77" "2006-07-18" 0.922145946428035 0.961534717134359
"78" "2006-07-19" 0.942862166887486 0.980289604454404
"79" "2006-07-20" 0.947381961565315 0.980741878069354
"80" "2006-07-21" 0.937760128867808 0.970641285005976
"81" "2006-07-24" 0.950241272746244 0.978987855487694
"82" "2006-07-25" 0.95437202217293 0.982926282792888
"83" "2006-07-26" 0.958913148496367 0.988426880875281
"84" "2006-07-27" 0.96843666359546 0.989702719014861
"85" "2006-07-28" 0.971404178301705 0.994041799406243
"86" "2006-07-31" 0.971703311362118 0.995970600909423
"87" "2006-08-01" 0.968701259905557 0.993210687970241
"88" "2006-08-02" 0.977544753414742 1.00634471659539
"89" "2006-08-03" 0.970586865576827 0.998907710168237
"90" "2006-08-04" 0.979447969577471 1.00600650087494
"91" "2006-08-07" 0.972155555386757 0.999811322351808
"92" "2006-08-08" 0.973221742920668 0.99624656918517
"93" "2006-08-09" 0.975487898390511 0.999934355490495
"94" "2006-08-10" 0.967600391395831 0.989645774178911
"95" "2006-08-11" 0.970048205658248 0.987670477666209
"96" "2006-08-14" 0.976134213308138 0.991012635459218
"97" "2006-08-15" 0.98180590501217 0.99614018585327
"98" "2006-08-16" 0.988944548622329 0.999205415732492
"99" "2006-08-17" 0.992164307192589 1.00328084066309
